FileName	Image dimension	Resolution	DWI count	Max b-value	B-table matched	Neighboring DWI correlation	# Bad Slices
102041	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.775955	0	
104059	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.749811	0	
104235	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.80582	0	
104785	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.799866	0	
105168	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.801306	2	
105176	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.75676	0	
105309	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.817146	0	
105767	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.746821	0	
105860	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.802051	14	
106039	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.78279	0	
106071	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.828204	0	
106246	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.785909	0	
106331	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.760441	0	
106802	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.823579	0	
106880	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.791339	2	
108202	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.763483	0	
109521	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.770778	6	
109646	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.765716	0	
109735	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.769433	17	
110354	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.827718	0	
110828	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.801049	0	
112249	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.776065	0	
112332	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.763516	0	
112694	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.777822	0	
114709	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.792492	0	
114935	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.786103	0	
116354	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.685619	0	
117397	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.768178	2	
118864	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0	0	
118990	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.79568	6	
120217	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.752798	0	
120562	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.739052	2	
121001	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.760338	0	
121050	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.805598	0	
121407	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.734178	0	
121670	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.767534	0	
122522	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.797726	11	
122528	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.630085	8	
122801	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.75397	0	
125511	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.819319	6	
125535	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.786461	4	
126176	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.756813	0	
126389	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.780182	0	
126554	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.790878	0	
127008	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.801639	0	
127236	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0	0	
127305	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.792778	0	
127417	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.777396	0	
127542	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.819955	0	
127611	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.783182	0	
128061	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.70647	6	
128154	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.813029	0	
129405	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.767735	0	
129552	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.793395	0	
129720	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.731527	0	
129886	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.827769	0	
130121	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.754048	0	
130687	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.819358	0	
130759	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.804068	0	
131224	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.787425	0	
131867	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.751681	0	
132179	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.793738	0	
132224	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.800119	0	
132657	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.768814	0	
133220	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.800825	0	
19977	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.798865	1	
19981	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.796401	0	
20011	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.814812	0	
20017	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.797466	0	
20151	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.81714	0	
20189	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.795335	0	
20197	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.811952	0	
20247	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.720052	4	
20313	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.793271	0	
20320	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.772407	0	
20322	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.788456	0	
20325	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.79548	0	
20362	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.747424	5	
80557	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.80005	0	
80688	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.811436	0	
81725	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.806033	21	
81760	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.795422	0	
83454	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.808553	0	
