FileName	Image dimension	Resolution	DWI count	Max b-value	B-table matched	Neighboring DWI correlation	# Bad Slices
sub-3001_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.895536	0
sub-3002_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.896335	0
sub-3003_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.893423	0
sub-3004_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.906005	0
sub-3005_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.914591	0
sub-3007_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3005	No	0.876557	0
sub-3008_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.848337	0
sub-3009_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.891079	0
sub-3013_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.898358	0
sub-3014_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.885386	0
sub-3015_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.891426	0
sub-3016_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.910372	0
sub-3018_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.871221	0	
sub-3019_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.901398	0
sub-3020_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.896606	0
sub-3021_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.87836	0
sub-3022_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.89342	0
sub-3023_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.875593	0
sub-3024_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.884083	0
sub-3025_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.890976	0
sub-3026_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.874399	0
sub-3028_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.850107	0
sub-3029_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.887903	0
sub-3030_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.85407	0
sub-3031_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.88563	0
sub-3032_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3005	No	0.878509	0
sub-3033_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.893626	0
sub-3034_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.886811	0
sub-3035_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.885314	0
sub-3036_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.88755	0
sub-3037_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.892746	0
sub-3038_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.839636	0
sub-3039_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.903507	0
sub-3040_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.880751	0
sub-3042_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.890448	0
sub-3043_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.868645	0
sub-3044_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.894166	0
sub-3045_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3010	Yes	0.889969	0
sub-3046_ses-1_dwi	121 145 121 	1.5 1.5 1.5 	199	3005	No	0.870055	0
